Anglais	Français	Kabyle	URL-Audio	URL-Image
Grapes	Raisins	Tiẓurin / aḍil	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tizurin.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/grapes.jpg 
Strawberry	Fraise	Lifriz	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/lifriz.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/strawberry.jpg 
Watermelon	Pastèque	Dellaɛ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/dela.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/watermelon2.jpg 
Pineapple	Ananas	Ananas	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ananas.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/pineapple.jpg 
Kiwi	Kiwi	Takiwit	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/takiwit.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/kiwi.jpg 
Pear	Poire	Tifirest	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tifirest.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/pear.jpg 
Peach	Pêche	Taxuxet	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/taxuxet.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/peach.jpg 
Cherry	Cerise	Areḍlim	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aredlim.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/cherry.jpg 
Raspberry	Framboise	Tizwal	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tizwal.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/Raspberry.jpg 
Lemon	Citron	Taqarest	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/taqarest.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/lemon.jpg 
Lime	Citron vert	Llim	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/lqares_az.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Fruits/lime.jpg 
Tomato	Tomate	Ṭumaṭic	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tumatic.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vegetables/Tomato.jpg 
Potato	Pomme de terre	Baṭaṭa	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/batata.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vegetables/Potato.jpg 
Cabbage	Chou	Lekṛemb	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/lekremb.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vegetables/cabbage.jpg 
Lettuce	Laitue	Cclaḍa	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/cclada.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vegetables/Lettuce.jpg 
Pumpkin	Citrouille	Taxsayt	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/taxsayt.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vegetables/Pumpkin.jpg 
Cheese	Fromage	Aguglu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aguglu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/foods/Cheese.jpg 
